country,coverage
Montenegro,1.1575562700964631e-07
Martinique,9.55056179775281e-08
French Guiana,9.183673469387755e-08
Suriname,6.611570247933884e-08
Cape Verde,6.474820143884891e-08
Bahamas,5.089058524173028e-08
Barbados,4.878048780487805e-08
Belize,3.818615751789976e-08
Djibouti,3.7449392712550604e-08
Guyana,2.5412960609911054e-08
