country,coverage
Tuvalu,0.0054
Albania,0.00016102889358703313
New Zealand,0.0001570082213755765
Norway,0.00012177464265825134
Moldova,0.00011966053748231965
Estonia,0.0001111945905334335
Finland,0.00010291191897268945
Sao Tome and Principe,0.0001
Lithuania,8.732999284180386e-05
Uruguay,8.071367884451997e-05
