page,country,rev_id,prediction,population,region
Joe Foss,United States,805713742.0,C,329.87800000000004,NORTHERN AMERICA
Moffie Funk,United States,805772949.0,Stub,329.87800000000004,NORTHERN AMERICA
Arthur A. Ballantine,United States,805779507.0,GA,329.87800000000004,NORTHERN AMERICA
Political boss,United States,805802544.0,C,329.87800000000004,NORTHERN AMERICA
Schuyler family,United States,805827465.0,C,329.87800000000004,NORTHERN AMERICA
Buddy Roemer,United States,805854822.0,GA,329.87800000000004,NORTHERN AMERICA
Victoria Lord,United States,805857707.0,GA,329.87800000000004,NORTHERN AMERICA
Bob Kerrey,United States,805863876.0,C,329.87800000000004,NORTHERN AMERICA
Nathan Deal,United States,805865647.0,GA,329.87800000000004,NORTHERN AMERICA
Glenn Hearn,United States,805927617.0,Start,329.87800000000004,NORTHERN AMERICA
John C. Stennis,United States,805927642.0,C,329.87800000000004,NORTHERN AMERICA
Stephen Hopkins (politician),United States,805934002.0,FA,329.87800000000004,NORTHERN AMERICA
Jocelyn Benson,United States,805955059.0,C,329.87800000000004,NORTHERN AMERICA
Victoria Neave,United States,805980023.0,Stub,329.87800000000004,NORTHERN AMERICA
Dan White,United States,805997998.0,C,329.87800000000004,NORTHERN AMERICA
Richard Dobbs Spaight,United States,806003157.0,C,329.87800000000004,NORTHERN AMERICA
Koch family,United States,806027450.0,C,329.87800000000004,NORTHERN AMERICA
Thaddeus Stevens,United States,806048772.0,FA,329.87800000000004,NORTHERN AMERICA
Steve Kerrigan,United States,806109794.0,C,329.87800000000004,NORTHERN AMERICA
Quincy political family,United States,806127336.0,Start,329.87800000000004,NORTHERN AMERICA
Lincoln family,United States,806137279.0,Start,329.87800000000004,NORTHERN AMERICA
Widow's succession,United States,806153574.0,Start,329.87800000000004,NORTHERN AMERICA
Harrison family of Virginia,United States,806156996.0,B,329.87800000000004,NORTHERN AMERICA
Lee family,United States,806157002.0,C,329.87800000000004,NORTHERN AMERICA
Roosevelt family,United States,806157006.0,C,329.87800000000004,NORTHERN AMERICA
James Michael Curley,United States,806165568.0,GA,329.87800000000004,NORTHERN AMERICA
John H. Hager,United States,806176639.0,C,329.87800000000004,NORTHERN AMERICA
Smedley Butler,United States,806251135.0,FA,329.87800000000004,NORTHERN AMERICA
List of the first LGBT holders of political offices in the United States,United States,806265292.0,B,329.87800000000004,NORTHERN AMERICA
Julius Stahel,United States,806287221.0,C,329.87800000000004,NORTHERN AMERICA
List of richest American politicians,United States,806288612.0,B,329.87800000000004,NORTHERN AMERICA
Patrick Miles Jr.,United States,806367442.0,C,329.87800000000004,NORTHERN AMERICA
Arthur Brown (Utah senator),United States,806372230.0,Start,329.87800000000004,NORTHERN AMERICA
Gouverneur Morris,United States,806380699.0,C,329.87800000000004,NORTHERN AMERICA
James Henry Lane (Union general),United States,806395302.0,C,329.87800000000004,NORTHERN AMERICA
Rudy Moise,United States,806399157.0,Start,329.87800000000004,NORTHERN AMERICA
James Forrestal,United States,806406121.0,GA,329.87800000000004,NORTHERN AMERICA
Grace Ross,United States,806438353.0,C,329.87800000000004,NORTHERN AMERICA
Warren Daniel,United States,806460970.0,Stub,329.87800000000004,NORTHERN AMERICA
Marshall Parker,United States,806513820.0,Start,329.87800000000004,NORTHERN AMERICA
Mike Jacobs (Georgia politician),United States,806545368.0,Start,329.87800000000004,NORTHERN AMERICA
Clinton family,United States,806554506.0,GA,329.87800000000004,NORTHERN AMERICA
Rick Perry,United States,806563994.0,GA,329.87800000000004,NORTHERN AMERICA
Nathaniel Ledbetter,United States,806570475.0,Stub,329.87800000000004,NORTHERN AMERICA
Marion B. Folsom,United States,806590590.0,Start,329.87800000000004,NORTHERN AMERICA
List of American federal politicians convicted of crimes,United States,806592277.0,B,329.87800000000004,NORTHERN AMERICA
List of United States politicians who have acknowledged cannabis use,United States,806618866.0,GA,329.87800000000004,NORTHERN AMERICA
Jim Jeffords,United States,806641448.0,C,329.87800000000004,NORTHERN AMERICA
Bob Dole,United States,806650098.0,C,329.87800000000004,NORTHERN AMERICA
Public image of Barack Obama,United States,806674128.0,B,329.87800000000004,NORTHERN AMERICA
Criticism of Franklin D. Roosevelt,United States,806674160.0,B,329.87800000000004,NORTHERN AMERICA
Jack Kevorkian,United States,806676114.0,GA,329.87800000000004,NORTHERN AMERICA
George Lincoln Rockwell,United States,806677734.0,C,329.87800000000004,NORTHERN AMERICA
Daniel Sickles,United States,806717973.0,C,329.87800000000004,NORTHERN AMERICA
Greg Brannon,United States,806719268.0,C,329.87800000000004,NORTHERN AMERICA
Bush family,United States,806754064.0,C,329.87800000000004,NORTHERN AMERICA
Public image of Bill Clinton,United States,806755755.0,GA,329.87800000000004,NORTHERN AMERICA
Allard K. Lowenstein,United States,806757522.0,C,329.87800000000004,NORTHERN AMERICA
Theodore Roosevelt,United States,806771467.0,FA,329.87800000000004,NORTHERN AMERICA
Family of Barack Obama,United States,806774219.0,B,329.87800000000004,NORTHERN AMERICA
John H. Wood Jr.,United States,806818215.0,Start,329.87800000000004,NORTHERN AMERICA
Kennedy family,United States,806833497.0,C,329.87800000000004,NORTHERN AMERICA
William S. Maynard,United States,806849567.0,Start,329.87800000000004,NORTHERN AMERICA
James Strang,United States,806859964.0,FA,329.87800000000004,NORTHERN AMERICA
Woodrow Wilson,United States,806921107.0,FA,329.87800000000004,NORTHERN AMERICA
Evan Mecham,United States,806932052.0,FA,329.87800000000004,NORTHERN AMERICA
Joshua Chamberlain,United States,806961306.0,C,329.87800000000004,NORTHERN AMERICA
Cultural and political image of John McCain,United States,807007010.0,FA,329.87800000000004,NORTHERN AMERICA
John Schofield,United States,807028903.0,C,329.87800000000004,NORTHERN AMERICA
Patrick Leahy,United States,807033614.0,C,329.87800000000004,NORTHERN AMERICA
List of American state and local politicians convicted of crimes,United States,807034552.0,B,329.87800000000004,NORTHERN AMERICA
"List of Hillary Clinton presidential campaign political endorsements, 2016",United States,807066604.0,B,329.87800000000004,NORTHERN AMERICA
Robert Toombs,United States,807110438.0,C,329.87800000000004,NORTHERN AMERICA
Greg Abbott,United States,807113113.0,GA,329.87800000000004,NORTHERN AMERICA
Party switching in the United States,United States,807114797.0,B,329.87800000000004,NORTHERN AMERICA
Strom Thurmond,United States,807127241.0,C,329.87800000000004,NORTHERN AMERICA
List of African-American Republicans,United States,807140113.0,B,329.87800000000004,NORTHERN AMERICA
Women in conservatism in the United States,United States,807141944.0,C,329.87800000000004,NORTHERN AMERICA
Jim Justice,United States,807153248.0,C,329.87800000000004,NORTHERN AMERICA
Michael Forbes,United States,807174953.0,C,329.87800000000004,NORTHERN AMERICA
Jay R. Vargas,United States,807193226.0,C,329.87800000000004,NORTHERN AMERICA
Judy Feder,United States,807224264.0,C,329.87800000000004,NORTHERN AMERICA
John Pope (Kentucky politician),United States,807225049.0,C,329.87800000000004,NORTHERN AMERICA
Robert F. Kennedy,United States,807240901.0,GA,329.87800000000004,NORTHERN AMERICA
Bruce R. Watkins,United States,807247873.0,Start,329.87800000000004,NORTHERN AMERICA
Tammy Duckworth,United States,807249726.0,GA,329.87800000000004,NORTHERN AMERICA
Darrell Kick,United States,807254420.0,Start,329.87800000000004,NORTHERN AMERICA
Angela Davis,United States,807271995.0,B,329.87800000000004,NORTHERN AMERICA
Virgil Goode,United States,807285819.0,C,329.87800000000004,NORTHERN AMERICA
Hillaryland,United States,807287067.0,C,329.87800000000004,NORTHERN AMERICA
Alexander Hamilton,United States,807298433.0,GA,329.87800000000004,NORTHERN AMERICA
John Rood,United States,807305287.0,Start,329.87800000000004,NORTHERN AMERICA
Edward I. Edwards,United States,807308113.0,Start,329.87800000000004,NORTHERN AMERICA
Environmental activism of Al Gore,United States,807336702.0,B,329.87800000000004,NORTHERN AMERICA
Stuart M. Gerson,United States,807341393.0,Start,329.87800000000004,NORTHERN AMERICA
Gabriel Rothblatt,United States,807351794.0,C,329.87800000000004,NORTHERN AMERICA
Charlie Crist,United States,807355312.0,GA,329.87800000000004,NORTHERN AMERICA
Brian Fitzpatrick (American politician),United States,807355682.0,Start,329.87800000000004,NORTHERN AMERICA
Brian Mast,United States,807357467.0,C,329.87800000000004,NORTHERN AMERICA
Breckinridge family,United States,807361852.0,C,329.87800000000004,NORTHERN AMERICA
Joseph M. McCormick,United States,807367296.0,C,329.87800000000004,NORTHERN AMERICA
First Family of the United States,United States,807378110.0,B,329.87800000000004,NORTHERN AMERICA
Danica Roem,United States,807378589.0,C,329.87800000000004,NORTHERN AMERICA
Harvey Milk,United States,807378968.0,FA,329.87800000000004,NORTHERN AMERICA
Romney family,United States,807386502.0,B,329.87800000000004,NORTHERN AMERICA
Franklin D. Roosevelt,United States,807395895.0,FA,329.87800000000004,NORTHERN AMERICA
Warren Terhune,United States,807396897.0,GA,329.87800000000004,NORTHERN AMERICA
Washburn family,United States,807413826.0,Start,329.87800000000004,NORTHERN AMERICA
John McCain,United States,807428251.0,FA,329.87800000000004,NORTHERN AMERICA
United States Attorneys appointed by Donald Trump,United States,807429322.0,B,329.87800000000004,NORTHERN AMERICA
Political appointments by Donald Trump,United States,807439921.0,C,329.87800000000004,NORTHERN AMERICA
Bob Stump (U.S. Congressman),United States,807439945.0,C,329.87800000000004,NORTHERN AMERICA
Mason family,United States,807454637.0,GA,329.87800000000004,NORTHERN AMERICA
Jan Lee,United States,807459157.0,Start,329.87800000000004,NORTHERN AMERICA
Hans A. Aune,United States,807470407.0,Stub,329.87800000000004,NORTHERN AMERICA
Huey Long,United States,807473939.0,B,329.87800000000004,NORTHERN AMERICA
Hamilton family,United States,807473969.0,C,329.87800000000004,NORTHERN AMERICA
Hal Bidlack,United States,807481636.0,C,329.87800000000004,NORTHERN AMERICA
Lucius Fairchild,United States,807483006.0,C,329.87800000000004,NORTHERN AMERICA
Francis Fessenden,United States,807483270.0,C,329.87800000000004,NORTHERN AMERICA
Sheikh Sadiq Ali Ansari,India,492060822.0,Stub,1400.1,ASIA
Book:Two Political Biographies,India,636911471.0,Stub,1400.1,ASIA
Pheroze Sethna,India,638214719.0,Stub,1400.1,ASIA
Dilip Sarkar,India,638377138.0,Stub,1400.1,ASIA
Fathema Ismail,India,648271473.0,Stub,1400.1,ASIA
Political families of Odisha,India,664822251.0,Stub,1400.1,ASIA
Brij Bhushan Mehra,India,668258382.0,Stub,1400.1,ASIA
Lalbuaia,India,693337130.0,Stub,1400.1,ASIA
Mahadeo Deole,India,694588693.0,Stub,1400.1,ASIA
Electoral history of Atal Bihari Vajpayee,India,696606312.0,Stub,1400.1,ASIA
Palden Tsering Gyamtso,India,696608668.0,Stub,1400.1,ASIA
Gaya Prasad,India,697662367.0,Stub,1400.1,ASIA
S. Ganesan,India,698048774.0,Stub,1400.1,ASIA
Lalhmingthanga,India,705607317.0,Stub,1400.1,ASIA
Srirang Narvekar,India,705607410.0,Stub,1400.1,ASIA
Book:Indian Politicians,India,708482569.0,Stub,1400.1,ASIA
Shakuntala Gamlin,India,708935044.0,Stub,1400.1,ASIA
Jayant Prasad,India,709607698.0,Start,1400.1,ASIA
Amolak Rattan Kohli,India,711781073.0,Stub,1400.1,ASIA
Rakesh Sood,India,713133852.0,Stub,1400.1,ASIA
Vatsu Meru,India,714026654.0,Stub,1400.1,ASIA
Kant Kishore Bhargava,India,714430378.0,Stub,1400.1,ASIA
Prabhat Prakash Shukla,India,714640755.0,Stub,1400.1,ASIA
Koora Rajanna,India,716169915.0,Stub,1400.1,ASIA
Shyamal Datta,India,717912563.0,Stub,1400.1,ASIA
Mukhi Gobindram Pritamdas,India,718400488.0,Stub,1400.1,ASIA
C. H. Sibghatullah,India,719056744.0,Stub,1400.1,ASIA
Mohammad Aslam Kohli,India,719422020.0,Stub,1400.1,ASIA
M. A. Kadar,India,719811980.0,Stub,1400.1,ASIA
Master Taj-ud-Din Ansari,India,720230222.0,Stub,1400.1,ASIA
Sanjeev Saxena,India,720279719.0,Stub,1400.1,ASIA
B. Mohan Reddy,India,720284030.0,Stub,1400.1,ASIA
Santiram Mahato,India,720303644.0,Stub,1400.1,ASIA
Sheikh Hissam-ud-Din,India,720429567.0,Stub,1400.1,ASIA
U. Rama Rao,India,720494745.0,Stub,1400.1,ASIA
Ashoknath Banerji,India,720554317.0,Stub,1400.1,ASIA
Madhav R. Bir,India,721201043.0,Stub,1400.1,ASIA
Joginder Pal Pandey,India,721391486.0,Stub,1400.1,ASIA
Jagat Ram Soondh,India,721394464.0,Stub,1400.1,ASIA
Mahendra Sarvaiya,India,721713036.0,Stub,1400.1,ASIA
Tej Singh (politician),India,721809950.0,Stub,1400.1,ASIA
Azhikodan Raghavan,India,722600003.0,Start,1400.1,ASIA
William Mackworth Young,India,722745301.0,Stub,1400.1,ASIA
P. Chandra Mohan,India,723132931.0,Stub,1400.1,ASIA
Mohammed Adam Mallik,India,723341660.0,Stub,1400.1,ASIA
Pu Zoduha,India,723343448.0,Stub,1400.1,ASIA
Vinod Saroj,India,723352694.0,Start,1400.1,ASIA
Jagadisan Mohandas Kumarappa,India,723439312.0,Stub,1400.1,ASIA
Moulana Abdullah Tari,India,723631747.0,Stub,1400.1,ASIA
M. D. R. Ramachandran,India,724179391.0,Stub,1400.1,ASIA
Kedar Nath Rai,India,724628450.0,Stub,1400.1,ASIA
Ngairangbam Bijoy Singh,India,724740096.0,Stub,1400.1,ASIA
Ch. Sarup Singh,India,724803914.0,Stub,1400.1,ASIA
K. R. Guruswami Iyer,India,725178575.0,Stub,1400.1,ASIA
Jagjivan Prasad Babu,India,725205938.0,Stub,1400.1,ASIA
Mohd. Ali Khan,India,725358923.0,Stub,1400.1,ASIA
Dinesh Chandra (politician),India,725508627.0,Stub,1400.1,ASIA
Kumar Sankar Roy,India,726493686.0,Stub,1400.1,ASIA
K. Vasudeva Aiyangar,India,726846455.0,Stub,1400.1,ASIA
Scato Swu,India,728958694.0,Stub,1400.1,ASIA
Bhrigu Phukan,India,728993886.0,Start,1400.1,ASIA
P. A. Mohideen,India,729877150.0,Stub,1400.1,ASIA
Sohan Singh Thandal,India,731125096.0,Stub,1400.1,ASIA
Srikumar Mukherjee,India,732643498.0,Stub,1400.1,ASIA
N Gokulakrishnan,India,732801963.0,Stub,1400.1,ASIA
Anil Kumar Sahani,India,732802068.0,Stub,1400.1,ASIA
Harivansh Narayan Singh,India,732802209.0,Stub,1400.1,ASIA
A V Swamy,India,732802243.0,Stub,1400.1,ASIA
Pabitra Kar,India,733099701.0,Stub,1400.1,ASIA
Lalsawia,India,736324000.0,Stub,1400.1,ASIA
Vedas Venkaiah,India,737383830.0,Stub,1400.1,ASIA
Lalit Kumar Debbarma,India,737765797.0,Stub,1400.1,ASIA
K.A. Keraleeyan,India,738225579.0,Start,1400.1,ASIA
Kizhekethil Chandy,India,738506882.0,Stub,1400.1,ASIA
Vasantham Karthikeyan,India,738566806.0,Stub,1400.1,ASIA
Bhagwati Singh,India,738642646.0,Stub,1400.1,ASIA
C. S. Ratnasabhapathy Mudaliar,India,739559254.0,Stub,1400.1,ASIA
Kamen Ringu,India,739984310.0,Stub,1400.1,ASIA
V. R. Ramanatha Iyer,India,740014832.0,Stub,1400.1,ASIA
Pranab Basu,India,740126873.0,Stub,1400.1,ASIA
Vinayak Sitaram Sarwate,India,740636552.0,Stub,1400.1,ASIA
R. K. Trivedi,India,740935302.0,Stub,1400.1,ASIA
Prabhudutt Brahmachari,India,740948267.0,Stub,1400.1,ASIA
Sardar Ridha Singh,India,741093977.0,Stub,1400.1,ASIA
Syed Hussain Bilgrami,India,741225037.0,Start,1400.1,ASIA
Ram Sathe,India,741263033.0,Stub,1400.1,ASIA
Gaganvihari Lallubhai Mehta,India,741541041.0,Stub,1400.1,ASIA
John Geekie,India,743806845.0,Stub,1400.1,ASIA
Nihal Singh Takshak,India,743974915.0,Start,1400.1,ASIA
Bindeshwari Prasad Verma,India,744275939.0,Stub,1400.1,ASIA
Mayimama Marakkar,India,744562421.0,Stub,1400.1,ASIA
Mohammad Majid Hussain,India,745561376.0,Stub,1400.1,ASIA
R. Swaminatha Merkondar,India,747089933.0,Stub,1400.1,ASIA
Suhasini Chattopadhyay,India,747242192.0,Stub,1400.1,ASIA
V. K. Duggal,India,747263285.0,Stub,1400.1,ASIA
Yashwant Singh (politician),India,748567593.0,Stub,1400.1,ASIA
Monika Kapil Mohta,India,749034711.0,Start,1400.1,ASIA
Vikram Sood,India,749084576.0,Stub,1400.1,ASIA
Nadimul Haque,India,749155897.0,Stub,1400.1,ASIA
A. M. Sahay,India,749326866.0,Stub,1400.1,ASIA
Thengamam Balakrishnan,India,749354148.0,Stub,1400.1,ASIA
Madan Bhatia,India,750629406.0,Stub,1400.1,ASIA
Lala Hansraj Gupta,India,750640764.0,Stub,1400.1,ASIA
Brajagopal Roy,India,751156832.0,Stub,1400.1,ASIA
Lallan Prasad Singh,India,751266631.0,Start,1400.1,ASIA
Virendra Singh (Lokayukta),India,751308347.0,Start,1400.1,ASIA
K. Punnaiah,India,751321785.0,Stub,1400.1,ASIA
Manager Singh,India,751972699.0,Stub,1400.1,ASIA
Donald Friell McLeod,India,752262036.0,Start,1400.1,ASIA
Kalyan Das Jain,India,752804353.0,Stub,1400.1,ASIA
O. Joy Singh,India,752833350.0,Stub,1400.1,ASIA
Rafiq Ahmed,India,753235836.0,Stub,1400.1,ASIA
Jyoti Khandelwal,India,753399588.0,Stub,1400.1,ASIA
Lalit Mohan Gandhi,India,753992078.0,Stub,1400.1,ASIA
Kurugondla Ramakrishna,India,754069400.0,Stub,1400.1,ASIA
Nelavala Subrahmanyam,India,754076679.0,Stub,1400.1,ASIA
G. Ganapati Sastriar,India,754110642.0,Stub,1400.1,ASIA
Ram Nath Thakur,India,754527699.0,Stub,1400.1,ASIA
Sridam Pal,India,755222236.0,Stub,1400.1,ASIA
Saroj Mukherjee,India,755222720.0,Stub,1400.1,ASIA
Brajamohan Jamatia,India,755224295.0,Stub,1400.1,ASIA
Ramendra Chandra Debnath,India,755224960.0,Stub,1400.1,ASIA
Sudhangshu Dasgupta,India,755225148.0,Stub,1400.1,ASIA
Chandulal Patel,India,755627493.0,Stub,1400.1,ASIA
V. Sivankutty,India,755794988.0,Stub,1400.1,ASIA
Savita Gupta,India,755895559.0,Stub,1400.1,ASIA
Sushma Singh,India,755895877.0,Stub,1400.1,ASIA
Eken Riba,India,756023976.0,Start,1400.1,ASIA
Hargovind Pant,India,757432747.0,Stub,1400.1,ASIA
W. Kulabindu Singh,India,757634461.0,Stub,1400.1,ASIA
Parvez Hashmi,India,758051315.0,Stub,1400.1,ASIA
R. Lakshmanan,India,759567624.0,Stub,1400.1,ASIA
S. Muthukaruppan,India,759567804.0,Stub,1400.1,ASIA
T. Rathinavel,India,759573340.0,Stub,1400.1,ASIA
SVSN Varma,India,759661223.0,Stub,1400.1,ASIA
Prem Singh Tamang,India,759899434.0,Start,1400.1,ASIA
Shekhar Dutt,India,760449447.0,Start,1400.1,ASIA
M. M. Ismail,India,760487348.0,Stub,1400.1,ASIA
Sundar Lal Khurana,India,760487381.0,Stub,1400.1,ASIA
Political families of Tamil Nadu,India,760599350.0,Start,1400.1,ASIA
Political families of Rajasthan,India,760608625.0,Start,1400.1,ASIA
Political families of Kerala,India,760624699.0,Stub,1400.1,ASIA
Jogendra Singh (politician),India,761006329.0,Stub,1400.1,ASIA
Raghukul Tilak,India,761006382.0,Stub,1400.1,ASIA
Navrang Lal Tibrewal,India,761007420.0,Stub,1400.1,ASIA
Pankaj Gupta (politician),India,761160906.0,Stub,1400.1,ASIA
M. Vaithianathan,India,761715082.0,Stub,1400.1,ASIA
Hangmila Shaiza,India,762379528.0,Stub,1400.1,ASIA
Ashok B. Gokhale,India,762551550.0,Stub,1400.1,ASIA
Balwant Singh Thind,India,762869795.0,Stub,1400.1,ASIA
Harnirpal Singh,India,763658724.0,Stub,1400.1,ASIA
R. V. Janakiraman,India,764374988.0,Stub,1400.1,ASIA
T. P. Chandrasekharan,India,765045490.0,C,1400.1,ASIA
Zosiama Pachuau,India,765856753.0,Stub,1400.1,ASIA
Gulam Rasool Balyawi,India,765965463.0,Stub,1400.1,ASIA
Gunanand Pathik,India,766225250.0,Stub,1400.1,ASIA
M.N. Jois,India,766234201.0,Stub,1400.1,ASIA
Nihar Mukherjee,India,766262631.0,Stub,1400.1,ASIA
Robert Romawia Royte,India,766466221.0,Stub,1400.1,ASIA
P. R. Sudhakara Lal,India,766549749.0,Stub,1400.1,ASIA
Ram Kumar Kashyap,India,766766179.0,Stub,1400.1,ASIA
Imtikumzuk,India,766867424.0,Stub,1400.1,ASIA
Thangjam Nandakishor Singh,India,766967944.0,Stub,1400.1,ASIA
Varinder Singh Bajwa,India,767151456.0,Stub,1400.1,ASIA
Raj Mohinder Singh Majitha,India,767151500.0,Stub,1400.1,ASIA
Nakul Das Rai,India,767176041.0,Stub,1400.1,ASIA
Sonam Gyatso Lepcha,India,767176094.0,Stub,1400.1,ASIA
Golap Borbora,India,767197489.0,Start,1400.1,ASIA
Binod Gowal,India,767198003.0,Stub,1400.1,ASIA
Gunin Hazarika,India,767198047.0,Stub,1400.1,ASIA
Radheshyam Biswas,India,767200784.0,Stub,1400.1,ASIA
Sirajuddin Ajmal,India,767201049.0,Stub,1400.1,ASIA
Moturu Hanumantha Rao,India,767355588.0,Stub,1400.1,ASIA
K. A. P. Viswanatham,India,767442011.0,Start,1400.1,ASIA
T. S. Patil,India,767490566.0,Stub,1400.1,ASIA
M. Subramaniam,India,767572195.0,Stub,1400.1,ASIA
Subrat Sahoo,India,767591238.0,Stub,1400.1,ASIA
Bisahu Das Mahant,India,767597890.0,Start,1400.1,ASIA
Mohan Lal Gupta,India,767975794.0,Stub,1400.1,ASIA
Raoof Valiullah,India,768683139.0,Stub,1400.1,ASIA
Mohammed Surti,India,768683541.0,Stub,1400.1,ASIA
Zile Ram Chochra,India,768686718.0,Stub,1400.1,ASIA
Ranjit Singh Chautala,India,768686720.0,Stub,1400.1,ASIA
Vinod Bhayana,India,768686723.0,Stub,1400.1,ASIA
Asha Kumari (politician),India,768687722.0,Stub,1400.1,ASIA
Kalidas Nag,India,768755034.0,Stub,1400.1,ASIA
Nityananda Mohapatra,India,769039973.0,Start,1400.1,ASIA
Chandrashekhar Prasad,India,769119665.0,Start,1400.1,ASIA
Chitlem Narsi Reddy,India,769130559.0,Stub,1400.1,ASIA
Ananta Narcina Naik,India,769504790.0,Stub,1400.1,ASIA
Govind Raghuchandra Acharya,India,769504881.0,Stub,1400.1,ASIA
Avertano Furtado,India,769504974.0,Stub,1400.1,ASIA
Mohinder Singh Chaudhury,India,769530606.0,Stub,1400.1,ASIA
Jai Prakash Verma,India,769567371.0,Stub,1400.1,ASIA
Khwaja Shams-ud-Din,India,769615004.0,Stub,1400.1,ASIA
Jagdish Raj Dubey,India,769615091.0,Stub,1400.1,ASIA
Sheikh Mustafa Kamal,India,769615320.0,Start,1400.1,ASIA
Devi Das Thakur,India,769615334.0,Stub,1400.1,ASIA
Nazir Ahmad Laway,India,769615410.0,Start,1400.1,ASIA
Ghulam Mustafa Bhat,India,769617589.0,Stub,1400.1,ASIA
Ghulam Mohammad Mir Magami,India,769618705.0,Stub,1400.1,ASIA
S. A. Shamim,India,769620090.0,Stub,1400.1,ASIA
Suresh Paswan,India,769621650.0,Stub,1400.1,ASIA
Ram Chandra Sahis,India,769621787.0,Stub,1400.1,ASIA
Umakant Rajak,India,769621793.0,Stub,1400.1,ASIA
Jagannath Mahto,India,769621837.0,Stub,1400.1,ASIA
Mumtaz Begum (politician),India,769630655.0,Start,1400.1,ASIA
Suresh Keswani,India,769641902.0,Stub,1400.1,ASIA
Women's Reservation Bill,India,770265831.0,Start,1400.1,ASIA
Shriman Narayan,India,770300097.0,Stub,1400.1,ASIA
Dilip Kumar Saikia,India,770350230.0,Stub,1400.1,ASIA
Admiral K. Sangma,India,770580506.0,Stub,1400.1,ASIA
Brening Sangma,India,770580584.0,Stub,1400.1,ASIA
Masonsing Sangma,India,770580683.0,Stub,1400.1,ASIA
Shivinder Singh Sidhu,India,770785890.0,Stub,1400.1,ASIA
K. G. Kenye,India,771386645.0,Stub,1400.1,ASIA
Vinod Kumar Grover,India,771664470.0,Start,1400.1,ASIA
Phillipole Marak,India,771835254.0,Stub,1400.1,ASIA
Khriehu Liezietsu,India,772135102.0,Stub,1400.1,ASIA
Harish Chandra Singh Rawat (politician),India,772317998.0,Stub,1400.1,ASIA
V. Chenthamarakshan,India,772709956.0,Stub,1400.1,ASIA
S. B. Tambe,India,773555949.0,Stub,1400.1,ASIA
Ashok Kumar Walia,India,773571501.0,Start,1400.1,ASIA
Abdul Khaleque (Assamese politician),India,774012513.0,Stub,1400.1,ASIA
Santosh Meena,India,774491511.0,Stub,1400.1,ASIA
Yashodhar Phanse,India,774896841.0,Start,1400.1,ASIA
Snehal Ambekar,India,775042583.0,Stub,1400.1,ASIA
Abdul Ghani Malik (politician),India,775457351.0,Stub,1400.1,ASIA
Bosiram Siram,India,775631159.0,Stub,1400.1,ASIA
Tangor Tapak,India,775631187.0,Stub,1400.1,ASIA
Santiuse Kujur,India,775636636.0,Start,1400.1,ASIA
"Mir Laiq Ali Khan, Salar Jung II",India,775774630.0,Stub,1400.1,ASIA
Lokanath Misra,India,776197785.0,Stub,1400.1,ASIA
T Thangzalam Haokip,India,776198912.0,Stub,1400.1,ASIA
Satyadev Katare,India,776475986.0,Stub,1400.1,ASIA
Muhammad Akbar Khan (politician),India,776653040.0,Stub,1400.1,ASIA
R. K. Chaudhary,India,777322086.0,Stub,1400.1,ASIA
S. Pandi,India,777368063.0,Stub,1400.1,ASIA
R. Srinivasan,India,777455129.0,Stub,1400.1,ASIA
Shyamali Gupta,India,777508272.0,Stub,1400.1,ASIA
Hari Krishna Shastri,India,777623116.0,Stub,1400.1,ASIA
Onkar Singh (politician),India,777651279.0,Stub,1400.1,ASIA
K. B. Lall,India,777909303.0,Stub,1400.1,ASIA
K. C. Rastogi,India,777939801.0,Stub,1400.1,ASIA
K. G. Ambegaonkar,India,777940645.0,Stub,1400.1,ASIA
N. Rangaswamy,India,778419320.0,C,1400.1,ASIA
Mohammad Sultan Tantray,India,778594387.0,Stub,1400.1,ASIA
Pyarimohan Mohapatra,India,778598945.0,Start,1400.1,ASIA
Bhaskar Tukaram Auti,India,778605969.0,Stub,1400.1,ASIA
Kewal Singh Dhillon,India,778661491.0,Stub,1400.1,ASIA
Haji Hussain Ansari,India,778768586.0,Stub,1400.1,ASIA
K. D. Sharma,India,778783349.0,Stub,1400.1,ASIA
K. Selvaraj,India,778783483.0,Stub,1400.1,ASIA
Kanwal Sibal,India,778783779.0,Start,1400.1,ASIA
Kihoto Hollon,India,778870925.0,Stub,1400.1,ASIA
Madhukar Bhosale,India,778882962.0,Stub,1400.1,ASIA
Murtaza Ahmed Khan,India,778907820.0,Start,1400.1,ASIA
Parinay Phuke,India,778911531.0,Stub,1400.1,ASIA
Vishnu Sadashiv Kokje,India,778914952.0,Stub,1400.1,ASIA
Rajani Rai,India,778916079.0,Stub,1400.1,ASIA
S. K. Bhatnagar,India,778923186.0,Stub,1400.1,ASIA
Thangkhangin Ngaihte,India,778933957.0,Stub,1400.1,ASIA
Akbar Hydari,India,779062330.0,Start,1400.1,ASIA
Narain Singh (politician),India,779475289.0,Stub,1400.1,ASIA
Sunil Singh (politician),India,779476840.0,Stub,1400.1,ASIA
Lajja Ram (politician),India,779476976.0,Stub,1400.1,ASIA
Sadabhau Khot,India,779542918.0,Stub,1400.1,ASIA
Saryoo Singh,India,779581694.0,Start,1400.1,ASIA
Brajbir Saran Das,India,779665711.0,Stub,1400.1,ASIA
Arun Singh,India,779795100.0,Start,1400.1,ASIA
Political families of Madhya Pradesh,India,779819115.0,Start,1400.1,ASIA
